"code","title","umbrella_code","founder","main_category","category","has_interest","is_hedge","currency_type"
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,İş Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstanbul Portföy,Değişken,Blockchain,true,false,Tümü
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Yapı Kredi Portföy,Değişken,Blockchain,true,false,Tümü
AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Ak Portföy,Borçlanma Araçları,Kira Sertifikaları,false,false,Tümü
MGH,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,TEB Portföy,Hisse Senedi,Mutlak Getiri Hedefli,true,true,Tümü
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,İş Portföy,Emtia,Gümüş,true,true,Tümü
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Oyak Portföy,Emtia,Emtia,true,false,Tümü
HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Hedef Portföy,Değişken,Değişken,true,true,Tümü
HPO,HSBC PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,HSBC Portföy,Değişken,Değişken,true,false,Tümü
TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Tacirler Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
GO2,FONERİA PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Foneria Portföy,Fon Sepeti,Fon Sepeti,false,false,Tümü
EIB,QİNVEST PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,QInvest Portföy,Değişken,Değişken,true,false,Tümü
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ünlü Portföy,Değişken,Değişken,true,false,Tümü
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İş Portföy,Değişken,Değişken,true,false,Tümü
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,true,Tümü
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,NEO Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Yapı Kredi Portföy,Borçlanma Araçları,Kira Sertifikaları,false,false,Tümü
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Mutlak Getiri Hedefli,true,false,Tümü
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Garanti Portföy,Fon Sepeti,Gümüş,true,false,Tümü
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,TEB Portföy,Değişken,Mutlak Getiri Hedefli,true,false,Tümü
AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ata Portföy,Değişken,Değişken,true,false,Tümü
ICD,ICBC TURKEY PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,ICBC Portföy,Değişken,Değişken,true,false,Tümü
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,İş Portföy,Değişken,Değişken,true,true,Tümü
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,Fon Sepeti,Fon Sepeti,true,true,Tümü
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,İstatistiksel Arbitraj,İstatistiksel Arbitraj,true,true,Tümü
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Aktif Portföy,Emtia,Gümüş,true,false,Tümü
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Deniz Portföy,Emtia,Gümüş,true,false,Tümü
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,QNB Portföy,Emtia,Gümüş,true,true,Tümü
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Ak Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Değişken,true,false,Tümü
IDN,INVEO PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,false,Tümü
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,false,false,Tümü
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Değişken,true,false,Tümü
IJH,ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,ICBC Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Yapı Kredi Portföy,Emtia,Gümüş,true,false,Tümü
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Garanti Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Azimut Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
ZBO,ZİRAAT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Ziraat Portföy,Hisse Senedi,Mutlak Getiri Hedefli,true,true,Tümü
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Blockchain,true,false,Tümü
PPF,AZİMUT PORTFÖY AKÇE SERBEST FON,Serbest Şemsiye Fonu,Azimut Portföy,Değişken,Değişken,true,true,Tümü
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ziraat Portföy,Değişken,Değişken,true,false,Tümü
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,TEB Portföy,Emtia,Gümüş,true,false,Tümü
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,QNB Portföy,Değişken,Değişken,true,false,Tümü
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Phillip Portföy,Değişken,Değişken,true,true,Tümü
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,HSBC Portföy,Değişken,Teknoloji,true,false,Tümü
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kuveyttürk Portföy,Para Piyasası,Para Piyasası,false,false,Türk Lira
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Kuveyttürk Portföy,Değişken,Değişken,false,false,Tümü
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,Ak Portföy,Fon Sepeti,Gümüş,true,false,Tümü
EIC,QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,Değişken Şemsiye Fonu,QInvest Portföy,Değişken,Değişken,true,false,Tümü
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Osmanlı Portföy,Değişken,Değişken,true,false,Tümü
PDD,QİNVEST PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,QInvest Portföy,Değişken,Değişken,false,false,Tümü
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fiba Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Kare Portföy,Değişken,Değişken,true,false,Tümü
FFP,QNB PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,QNB Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
PFS,ATLAS PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Atlas Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Strateji Portföy,Değişken,Değişken,true,false,Tümü
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,QNB Portföy,Karma,Karma,false,false,Tümü
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Karma Şemsiye Fonu,İş Portföy,Karma,Teknoloji,true,false,Tümü
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Garanti Portföy,Karma,Karma,false,false,Tümü
