"code","title","umbrella_code","founder","main_category","category","has_interest","is_hedge","currency_type"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Global Portföy,Değişken,Değişken,true,false,Tümü
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,true,true,Döviz
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,Karma Şemsiye Fonu,İş Portföy,Karma,Sürdürülebilirlik,true,false,Tümü
YTY,YAPI KREDİ PORTFÖY TARABYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
ZVO,ZİRAAT PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Değişken,Değişken,true,true,Türk Lira
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,NEO Portföy,Döviz,Döviz,true,true,Döviz
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Şemsiye Fonu,Ziraat Portföy,Döviz,Döviz,false,false,Döviz
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Fiba Portföy,Döviz,Döviz,true,true,Döviz
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Oyak Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Deniz Portföy,Döviz,Döviz,true,true,Döviz
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Ak Portföy,Döviz,Döviz,true,true,Döviz
ICC,ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,ICBC Portföy,Değişken,Değişken,true,false,Tümü
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Osmanlı Portföy,Döviz,Döviz,true,true,Döviz
DFI,ATLAS PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,Atlas Portföy,Değişken,Değişken,true,true,Tümü
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Aktif Portföy,Döviz,Döviz,true,true,Döviz
TPJ,TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,TEB Portföy,Döviz,Döviz,true,true,Döviz
SPE,AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,Azimut Portföy,Döviz,Döviz,true,true,Döviz
TEJ,AZİMUT PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Azimut Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Fiba Portföy,Döviz,Döviz,true,true,Döviz
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Ziraat Portföy,Emtia,Emtia,true,false,Tümü
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Aktif Portföy,Döviz,Döviz,true,true,Döviz
GO3,FONERİA PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Foneria Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
HOY,HSBC PORTFÖY YABANCI BYF FON SEPETI,Fon Sepeti Şemsiye Fonu,HSBC Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,İstanbul Portföy,Döviz,Döviz,true,true,Döviz
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,Serbest Şemsiye Fonu,Osmanlı Portföy,Döviz,Döviz,true,true,Döviz
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,QNB Portföy,Döviz,Döviz,true,true,Döviz
IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,İstanbul Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,Garanti Portföy,Borçlanma Araçları,Eurobond,true,false,Döviz
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,true,true,Döviz
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Oyak Portföy,Döviz,Döviz,true,true,Döviz
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,İş Portföy,Borçlanma Araçları,Eurobond,true,false,Döviz
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,Fiba Portföy,Borçlanma Araçları,Eurobond,true,false,Döviz
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,QNB Portföy,Borçlanma Araçları,Eurobond,true,false,Döviz
RBR,RE-PIE  PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,Re-pie Portföy,Değişken,Değişken,false,true,Tümü
FBZ,FİBA PORTFÖY KAR PAYI ÖDEYEN SERBEST FON,Serbest Şemsiye Fonu,Fiba Portföy,Hisse Senedi,Hisse Senedi,true,true,Tümü
KTT,KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Kuveyttürk Portföy,Döviz,Döviz,false,true,Döviz
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Pardus Portföy,Hisse Senedi,Hisse Senedi,true,true,Türk Lira
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ak Portföy,Hisse Senedi,Değişken,true,false,Tümü
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Döviz,Döviz,false,true,Döviz
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,Atlas Portföy,Döviz,Döviz,true,true,Döviz
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
NBH,NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,NEO Portföy,Değişken,Değişken,true,true,Tümü
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Ak Portföy,Hisse Senedi,Hisse Senedi,true,false,Tümü
KIS,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Şemsiye Fonu,QInvest Portföy,Borçlanma Araçları,Kira Sertifikaları,false,false,Döviz
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,Garanti Portföy,Değişken,Değişken,true,true,Tümü
GZY,GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Dijital Teknolojiler,true,false,Tümü
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Nurol Portföy,Döviz,Döviz,true,false,Döviz
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Yapı Kredi Portföy,Değişken,Değişken,true,false,Tümü
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,TEB Portföy,Değişken,Dijital Teknolojiler,true,false,Tümü
HP3,HEDEF PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Hedef Portföy,Döviz,Döviz,true,true,Döviz
TPL,TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,TEB Portföy,Borçlanma Araçları,Eurobond,true,false,Döviz
SHE,TEB PORTFÖY ÖNCE KADIN DEĞİŞKEN FON,Değişken Şemsiye Fonu,TEB Portföy,Değişken,Değişken,true,false,Tümü
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Kuveyttürk Portföy,Döviz,Döviz,false,true,Döviz
GZZ,GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Değişken,true,false,Tümü
GSM,INVEO PORTFÖY SMART ALGO SERBEST FON,Serbest Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,true,Tümü
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,İş Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Nurol Portföy,Döviz,Döviz,true,true,Döviz
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,Serbest Şemsiye Fonu,Kare Portföy,Döviz,Döviz,true,true,Döviz
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Yapı Kredi Portföy,Borçlanma Araçları,Eurobond,true,false,Tümü
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Deniz Portföy,Değişken,Dijital Teknolojiler,true,false,Tümü
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Meksa Portföy,Değişken,Değişken,true,false,Tümü
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,true,Tümü
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Ak Portföy,Borçlanma Araçları,Eurobond,true,false,Tümü
PPE,PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Phillip Portföy,Döviz,Döviz,true,true,Döviz
HST,HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,HSBC Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Aktif Portföy,Değişken,Robotik Teknolojiler,true,false,Tümü
RPS,ROTA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Rota Portföy,Döviz,Döviz,true,true,Döviz
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,false,true,Döviz
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,false,Tümü
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Pardus Portföy,İstatistiksel Arbitraj,Hisse Senedi,true,true,Türk Lira
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Döviz,Döviz,false,true,Döviz
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Aura Portföy,Değişken,Değişken,true,false,Tümü
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Emtia,Emtia,true,true,Tümü
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,Değişken Şemsiye Fonu,İş Portföy,Değişken,Değişken,true,false,Tümü
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Ata Portföy,Döviz,Döviz,true,true,Döviz
HBN,HSBC PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,HSBC Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Döviz,Döviz,true,true,Döviz
OJT,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,QNB Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
IHC,INVEO PORTFÖY INTER SERBEST FON,Serbest Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,true,Tümü
PBK,QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,QInvest Portföy,Döviz,Döviz,false,true,Döviz
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
IYB,AURA PORTFÖY DEĞİŞKEN FONU,Değişken Şemsiye Fonu,Aura Portföy,Değişken,Değişken,true,false,Tümü
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
KDT,GARANTİ PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,false,true,Döviz
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
TLE,AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Aura Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
PDF,QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,QInvest Portföy,Döviz,Döviz,true,true,Döviz
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Garanti Portföy,Emtia,Emtia,true,true,Tümü
YMD,YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İş Portföy,Değişken,Siber Güvenlik,true,false,Tümü
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Azimut Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,İş Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
KID,TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Trive Portföy,Döviz,Döviz,true,true,Döviz
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,TEB Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
RPX,ROTA PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Rota Portföy,Döviz,Döviz,true,true,Döviz
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Aktif Portföy,Döviz,Döviz,true,true,Döviz
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Ak Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Deniz Portföy,Döviz,Döviz,true,true,Döviz
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,Serbest Şemsiye Fonu,Inveo Portföy,Döviz,Döviz,true,true,Döviz
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,QNB Portföy,Döviz,Döviz,true,true,Döviz
OVD,QNB PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,QNB Portföy,Emtia,Emtia,true,false,Tümü
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,Ak Portföy,Döviz,Döviz,true,true,Döviz
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,Ünlü Portföy,Döviz,Döviz,true,true,Döviz
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,NEO Portföy,Döviz,Döviz,true,true,Döviz
YP4,YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Döviz,Döviz,true,true,Döviz
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,true,true,Döviz
YDP,YAPI KREDİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Yapı Kredi Portföy,Değişken,Değişken,true,false,Tümü
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Fiba Portföy,Döviz,Döviz,true,true,Döviz
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,Fiba Portföy,Fon Sepeti,Fon Sepeti,true,true,Tümü
GO4,FONERİA PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Foneria Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,false,Tümü
IUH,INVEO PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Inveo Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
OJB,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,QNB Portföy,Döviz,Döviz,true,true,Döviz
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,Serbest Şemsiye Fonu,Azimut Portföy,Değişken,Değişken,true,true,Tümü
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Oyak Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ata Portföy,Değişken,Değişken,true,false,Tümü
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Şemsiye Fonu,Allbatross Portföy,Değişken,Değişken,true,true,Tümü
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Aktif Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
IAE,İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,false,Tümü
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Garanti Portföy,Döviz,Döviz,true,true,Döviz
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Azimut Portföy,Emtia,Emtia,true,false,Tümü
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Oyak Portföy,Değişken,Değişken,true,false,Tümü
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Inveo Portföy,Hisse Senedi,Hisse Senedi,true,false,Tümü
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Global Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Ziraat Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Strateji Portföy,Değişken,Değişken,true,false,Tümü
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Kuveyttürk Portföy,Döviz,Döviz,false,true,Döviz
TGA,GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Değişken,true,false,Tümü
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Fiba Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
TCC,TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,Tacirler Portföy,Döviz,Döviz,true,true,Döviz
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Allbatross Portföy,Döviz,Döviz,true,true,Döviz
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,Serbest Şemsiye Fonu,Ak Portföy,Değişken,Değişken,true,true,Tümü
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Allbatross Portföy,Değişken,Değişken,true,false,Tümü
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Osmanlı Portföy,Değişken,Değişken,true,false,Tümü
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,İş Portföy,Değişken,Değişken,true,false,Tümü
GVI,GARANTİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Garanti Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
ICS,ICBC TURKEY PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,ICBC Portföy,Döviz,Döviz,true,true,Döviz
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Ak Portföy,Döviz,Döviz,true,true,Döviz
HPD,HSBC PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,HSBC Portföy,Değişken,Değişken,true,false,Tümü
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ak Portföy,Değişken,Turizm,true,false,Tümü
TMZ,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK VE TARIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,İş Portföy,Fon Sepeti,Sürdürülebilirlik,true,false,Tümü
GRL,QNB PORTFÖY AGRESİF SERBEST FON,Serbest Şemsiye Fonu,QNB Portföy,Değişken,Değişken,true,true,Tümü
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Garanti Portföy,Fon Sepeti,Sürdürülebilirlik,true,false,Tümü
IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,false,Tümü
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Trive Portföy,Değişken,Değişken,true,false,Tümü
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,Değişken Şemsiye Fonu,Ünlü Portföy,Değişken,Değişken,true,false,Tümü
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,false,Tümü
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Deniz Portföy,Değişken,Değişken,true,false,Tümü
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Global Portföy,Değişken,Değişken,true,false,Tümü
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,Karma Şemsiye Fonu,İş Portföy,Karma,Hisse Senedi,true,false,Tümü
YAK,YAPI KREDİ PORTFÖY KARMA FON,Karma Şemsiye Fonu,Yapı Kredi Portföy,Karma,Karma,true,false,Tümü
KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Azimut Portföy,Hisse Senedi,Hisse Senedi,false,false,Tümü
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ata Portföy,Değişken,Değişken,true,false,Tümü
